Year,Month,Day,Hour,Minute,Total
2008,10,22,23,10,268636
2008,10,22,23,20,274671
2008,10,22,23,30,282497
2008,10,22,23,40,284609
2008,10,22,23,50,282359
2008,10,23,0,0,279147
2008,10,23,0,10,277501
2008,10,23,0,20,267863
2008,10,23,0,30,263691
2008,10,23,0,40,267790
2008,10,23,0,50,272602
2008,10,23,1,0,278194
2008,10,23,1,10,286677
2008,10,23,1,20,288455
2008,10,23,1,30,287706
2008,10,23,1,40,288762
2008,10,23,1,50,290867
2008,10,23,2,0,291821
2008,10,23,2,10,292772
2008,10,23,2,20,291842
2008,10,23,2,30,290246
2008,10,23,2,40,286047
2008,10,23,2,50,284307
2008,10,23,3,0,287617
2008,10,23,3,10,291226
2008,10,23,3,20,292300
2008,10,23,3,30,291965
2008,10,23,3,40,287351
2008,10,23,3,50,284944
2008,10,23,4,0,280105
2008,10,23,4,10,280783
2008,10,23,4,20,282962
2008,10,23,4,30,287909
2008,10,23,4,40,290384
2008,10,23,4,50,291968
2008,10,23,5,0,292562
2008,10,23,5,10,291700
2008,10,23,5,20,289730
2008,10,23,5,30,290487
2008,10,23,5,40,291009
2008,10,23,5,50,290253
2008,10,23,6,0,291323
2008,10,23,6,10,290872
2008,10,23,6,20,291024
2008,10,23,6,30,290971
2008,10,23,6,40,290990
2008,10,23,6,50,290669
2008,10,23,7,0,290035
2008,10,23,7,10,289701
2008,10,23,7,20,289710
2008,10,23,7,30,290208
2008,10,23,7,40,288370
2008,10,23,7,50,285825
2008,10,23,8,0,286080
2008,10,23,8,10,283857
2008,10,23,8,20,277297
2008,10,23,8,30,275578
2008,10,23,8,40,270886
2008,10,23,8,50,265214
2008,10,23,9,0,262189
2008,10,23,9,10,260060
2008,10,23,9,20,253399
2008,10,23,9,30,235860
2008,10,23,9,40,233517
2008,10,23,9,50,260319
2008,10,23,10,0,275926
2008,10,23,10,10,274364
2008,10,23,10,20,274360
2008,10,23,10,30,275220
2008,10,23,10,40,272401
2008,10,23,10,50,274036
2008,10,23,11,0,276277
2008,10,23,11,10,278890
2008,10,23,11,20,280691
2008,10,23,11,30,278840
2008,10,23,11,40,272755
2008,10,23,11,50,265695
2008,10,23,12,0,264748
2008,10,23,12,10,271258
2008,10,23,12,20,269090
2008,10,23,12,30,266159
2008,10,23,12,40,264594
2008,10,23,12,50,262614
2008,10,23,13,0,259611
2008,10,23,13,10,254803
2008,10,23,13,20,255372
2008,10,23,13,30,261436
2008,10,23,13,40,268515
2008,10,23,13,50,274967
2008,10,23,14,0,277854
2008,10,23,14,10,277813
